Date,Term_Premium,Risk_Premium,Stock_Prices_mom%_change,Stock_Prices_mom24mma%_change,Stock_Market_Volatility,REER,Current_Account_Balance_change_yryr%,Current_Account_Balance_over_GDP,One-Day_Repo_Rate_AVG,One-Day_Repo_Rate_EOP,Policy_Rate_&_Fed_Funds_Rate_Differential_AVG,Policy_Rate_&_Fed_Funds_Rate_Differential_EOP,Portfolio_Flows,Foreign_Exchange_Reserve_change_yryr%,Foreign_Exchange_Reserve_over_GDP,CPI yryrl,Bank Lending yryr%,Bank_Lending_mo12m%_change
2016-09,-1.07,-1.37,-1.0904479349456817,1.2439628338884627,-359.20547226857474,89.79861445,136.650890021779,6.09671700870576,0.9,0.9,0.6100000000000001,0.6100000000000001,223.0,-27.72635438500288,0.7939445427655785,0.5982071677547469,0.6992201183489315,-0.1010129505941845
2016-10,-1.18,-1.24,7.730337890960357,1.3160121235466622,-469.5089798040564,90.47679065,132.401105408606,5.441430498226379,0.9000000000000001,0.9,0.5900000000000001,0.5900000000000001,346.0,-23.90372400130092,0.777336170572453,0.9950330853168092,0.00211912333333,0.9929139619834793
2016-11,-1.29,-1.1,0.7088262541862691,1.2955854744963784,-791.4460400733105,89.82004296,155.540207795328,4.159448147669923,0.9000000000000001,0.9,0.5900000000000001,0.5900000000000001,-522.0,-24.76289646801989,0.7656123808109178,1.0939940038334264,-0.0999562255107537,1.1939502293441802
2016-12,-1.49,-0.81,6.626931929190466,1.3506784243741583,-561.5926276311623,88.90599917,62.3816519751877,2.632282722980399,0.9000000000000001,0.9,0.3500000000000001,0.35,-572.0,-22.77823839452874,0.7614324355757095,1.7839918128331016,0.2490991158583861,1.5348926969747154
2017-01,-1.36,-1.13,1.4943575690442057,1.334787217406392,-869.3683262500336,89.97950319,-49.1157193882859,1.5121386949789823,0.9,0.9,0.3399999999999999,0.3399999999999999,-177.0,-23.45443339472394,0.7686576062430127,2.273948696948934,0.77082574,1.503122956948934
2017-02,-1.23,-1.14,-1.29292894463243,1.2825028969872585,-494.2820820278629,89.91249417,-58.5033057923804,1.2067030938617458,0.9,0.9,0.33,0.33,-655.0,-23.35974245194205,0.7997751570914772,2.858745685191247,1.1843581551000433,1.674387530091204
2017-03,-1.13,-1.01,-1.3320408105340713,1.2368650111352877,-653.6014037243809,89.55721627,-53.6095698904644,1.656068468162016,0.9,0.9,0.08,0.08,347.0,-16.86033662471209,0.8373781271180819,2.6641930946421093,1.537113939305952,1.1270791553361572
2017-04,-1.17,-1.07,4.179139957754677,1.263958676132698,-531.4585555542018,88.71609563,-43.2615106207859,2.513036881306489,0.9,0.9,0.07,0.07,-570.0,-11.79745266240041,0.8616123105999677,2.176149178151271,1.78246601666667,0.3936831614846012
2017-05,-1.22,-0.92,4.841562918167386,1.3036058171892733,-711.982778438966,89.85852688,-32.5978761344583,3.2836076840785893,0.9,0.9,0.07,0.07,-402.0,-6.578104347619018,0.8416330821513348,2.078253918252841,1.940691101873196,0.1375628163796449
2017-06,-1.28,-0.85,1.891415522735354,1.3033211880997884,-783.4808761815796,90.61309154,-26.8874630796431,3.755105894496486,0.9,0.9,-0.2599999999999999,-0.2599999999999999,-385.0,-2.962397903465086,0.7995511975724147,1.8821754240587667,1.9836525021554483,-0.1014770780966816
2017-07,-1.28,-0.9,1.6033042639457349,1.297592045662927,-467.8970212454386,91.70794629,-31.6940026056244,3.8377982367844656,0.9000000000000001,0.9,-0.1699999999999999,-0.17,-358.0,-4.03976206398533,0.7405601522845284,2.078253918252841,1.88997575,0.1882781682528409
2017-08,-1.28,-0.93,6.49258719699009,1.354846775470441,-573.4318613612339,93.29030694,-42.6062031106172,3.595285318155676,0.9,0.9,-0.17,-0.17,472.0,-1.083739803596473,0.7026491861100789,2.5667746748577813,1.662561793063686,0.9042128817940952
2017-09,-1.36,-0.34,-2.104390760747723,1.2943096388622912,-630.7915081285731,92.0176366,-56.1955979660773,3.009264798712476,0.9000000000000001,0.9,-0.1599999999999999,-0.16,245.0,-0.9221997602515186,0.6750318382189997,2.469261259037141,1.438459734466369,1.030801524570772
2017-10,-1.24,-0.14,6.2240534825753855,1.343021341774553,-546.1755918325225,91.43475851,-74.7499456403566,2.080773064319087,0.9,0.9,-0.17,-0.17,-208.0,-3.849123157742007,0.6598917888735855,2.176149178151271,1.36088002666667,0.8152691514846011
2017-11,-1.03,0.23,-2.3677636169570264,1.2786106729393842,-825.5463083396634,91.21794049,-108.532314923619,0.9812931314343109,0.9000000000000001,0.9,-0.1699999999999999,-0.17,-473.0,-2.079425507735211,0.6432063811433824,2.469261259037141,1.5452765551173968,0.9239847039197442
2017-12,-0.92,0.31,1.8192711176294465,1.2756788916644863,-797.2784019815844,90.908289,-155.702437798442,0.0739039205761574,0.9,0.9,-0.43,-0.43,98.0,7.990383963866732,0.6443697494705294,2.078253918252841,1.9434898422844564,0.1347640759683845
2018-01,-1.08,0.37,2.060069618772853,1.2753497355451269,-793.8940285198479,92.36340958,-79.4493474631138,-0.1885457135361472,0.9,0.9,-0.44,-0.44,-246.0,10.239070531712468,0.6603259031259526,2.078253918252841,2.44542542333333,-0.3671715050804889
2018-02,-1.14,0.22,-5.166924576203503,1.1841029855593077,-873.8938792148003,91.84302768,17.8540445610546,0.3479796914113754,0.9,0.9,-0.45,-0.45,-400.0,3.3926375462061564,0.6832576838328862,1.8821754240587667,2.894370592194144,-1.0121951681353771
2018-03,-1.14,0.28,-2.23840260285474,1.1358592356723578,-847.422204497054,91.57661144,23.7929044122582,1.3578737195802155,0.9,0.9,-0.7699999999999999,-0.7699999999999999,970.0,8.823318138464709,0.7131871274062442,1.980262729617973,3.266312703162452,-1.286049973544479
2018-04,-1.25,0.36,2.7827445254690817,1.1516567522940384,-588.5295418734639,92.14253497,-2.51601932886938,2.2069671432176494,0.9,0.9,-0.7899999999999999,-0.7899999999999999,247.0,5.275318443111621,0.7245140284568722,2.273948696948934,3.377706,-1.103757303051066
2018-05,-1.49,-0.4,-7.674199623352164,1.0482705505897778,-703.1576946975235,90.2653881,-32.2716683119447,2.484863711659969,0.9,0.9,-0.7999999999999999,-0.7999999999999999,104.0,11.465433509727152,0.748033480547945,2.761516703297339,3.169672837182797,-0.4081561338854582
2018-06,-1.31,-0.82,2.180285958893932,1.059560659183528,-1041.2535903377168,88.71396514,-58.5668977196079,2.1515607308866893,0.9000000000000001,0.9,-1.0099999999999998,-1.0099999999999998,-2309.0,4.88717397846159,0.7344513413543671,3.05292050348228,2.8361875704453707,0.216732933036909
